,party,year,matched_keywords_all,n_hits_body_total,body,relevant_len_words,total_len_words
136,D66,2025,['ai'],9,...beslist over jouw data Onze digitale toekomst is aan ons. Niet aan techbedrijven die verdienen aan verslavende algoritmes. Niet aan AI die discrimineert of mensen de mond snoert. En zeker niet aan buitenlandse machten die ons kunnen afsluiten van onze eigen de digitale wereld gebruiken om de samenleving sterker te maken eerlijk en binnen de kaders van de rechtsstaat. Denk aan AI die artsen helpt om betere zorg te geven. Of aan digitale diensten die de overheid toegankelijker maken. De kennis en zet de overheid sterk de toon bij aanbestedingen en contracteisen van ICT vooral in belangrijke publieke sectoren. De ontwikkeling van AI in bijvoorbeeld de zorg het onderwijs en overheidsdiensten is gevoelig. Daarom laten we dat niet over aan buitenlandse bedrijven die standpunten over technologie maakt ruimte voor vooruitgang. Concept-verkiezingsprogramma 2025-2030 13 • Nederland wordt koploper in Europa in waardengedreven en verantwoorde AI. AI biedt enorme kansen maar zorgt ook voor risico’s voor werk veiligheid en democratie. De strijd om de dominantie op het gebied van AI in de wereld is in volle gang. Nederland en Europa dreigen nog afhankelijker te worden van vijandige of ongewenste machten. D66 wil dat we producent zijn geen consument. We bouwen daarom onze eigen kennis en kracht op het gebied van AI op op basis van Europese waarden en standaarden. • D66 staat voor democratische grip en onafhankelijke controle op ons digitale...,230,26398
140,GroenLinks,2019,"['ai', 'artificial intelligence', 'claude']",5,...european people’s party epp EPP Manifesto “Let’s open the next chapter for Europe together” 11 We embrace the potential of artificial intelligence and robotics Over 830.000 innovative start-ups are active in Europe’s major hubs employing around 5 million people. Innovation is DNA. We believe Europe has the potential to seize the next digi- tal wave and to take the lead in artificial intelligence robotics biomedicine big data and mobility engineering. In addition we must do this if we want to stay competitive but that it is the people who shape and must control digital revolution. i. We will increase our investments in artificial intelligence and robotics to make the EU the leader in this field to ensure we are a prosperous and competitive solutions to illnesses aﬀecting countless families and thus to improve our citizens’ lives. When we lead in the fields of AI biomedicine robotics big data and mobility engineering we can identify the big European innovation projects and commit common funds to we need to open up a new chapter with fresh ideas for a new era. The last European Commission under Jean-Claude Juncker the Council under Donald Tusk and the Euro- pean Parliament led by Antonio Tajani managed to keep the Union...,211,6799
141,FvD,2025,"['ai', 'kunstmatige intelligentie']",7,...we bovendien onze afhankelijkheid van arbeidsmigratie en zorgen we dat lonen en belastingen in Nederland blijven. Ook de opkomst van kunstmatige intelligentie maakt de herwaardering van vakmanschap urgent. Spoedig zal AI veel administratieve banen vervangen maar voorlopig zien wij computers nog geen hamer vasthouden geen lasnaad leggen of patiënt verzorgen. Juist vakmensen zodat tekorten in bouw en techniek worden opgelost en geld in Nederland blijft. » Voorbereiding op de toekomst met AI We integreren nieuwe technologie en AI in beroepsopleidingen zodat vakmensen leren werken met moderne tools en hun positie op de arbeidsmarkt wordt versterkt. 50 8. ONDERWIJS Tegelijkertijd zien wij grote kansen in nieuwe technologische ontwikkelingen. Cryptocurrencies en blockchain zijn innovaties die meer financiële vrijheid brengen en kunstmatige intelligentie kan de overheid efficiënter maken. Zo kiezen we voor een toekomst waarin vrijheid en innovatie hand in hand gaan. de overheid haar digitale systemen zoals Belastingdienst en UWV te moderniseren zodat ze eindelijk betrouwbaar functioneren. » Breed gebruik van AI stimuleren We zetten kunstmatige intelligentie in binnen de overheid zodat productiviteit stijgt en minder ambtenaren nodig zijn. 66 11. VERKEER & INFRASTRUCTUUR Dynamiek terug:...,181,23196
148,GroenLinks,2019,['kunstmatige intelligentie'],2,...data van burgers. 5. [Robotica] De EU neemt maatregelen om ervoor te zorgen dat verdere ontwikkeling in automatisering digitalisering en kunstmatige intelligentie in dienst van de mens komen te staan. Voor de ontwikkeling en het gebruik van robots en kunstmatige intelligentie moet een ethische code gelden. Daarin staan de principes ‘do no harm’ transparante code en ‘human in command’ centraal....,60,25747
149,GroenLinks,2019,['kunstmatige intelligentie'],2,...data van burgers. 5 ROBOTICA De EU neemt maatregelen om ervoor te zorgen dat verdere ontwikkeling in automatisering digitalisering en kunstmatige intelligentie in dienst van de mens komen te staan. Voor de ontwikkeling en het gebruik van robots en kunstmatige intelligentie moet een ethische code gelden. Daarin staan de principes ‘do no harm’ transparante code en ‘human in command’ centraal....,60,26753
151,PvdA,2025,"['ai', 'generatieve ai', 'kunstmatige intelligentie']",22,...met Europese bondgenoten. Zo maken we Nederland en de EU wereldleider in schone economie. GroenLinks-PvdA Verkiezingsprogramma 2025 50 › Duurzame AI. De digitale samenleving verbruikt veel stroom vaak door onnodig AI-gebruik of door ICT alsmaar te laten draaien. Tegelijkertijd kan digitalisering ook helpen om bedrijven duurzamer te maken. We verbreden het verandert. Door krapte is de druk op sommige werkenden heel hoog terwijl elders banen verdwijnen door digitalisering. De toepassingen van AI ontwikkelen zich razendsnel. We gaan slimmer werken door te investeren in innovatie en digitalisering waar dat kan. Zo verhogen we Amerikaanse tech- giganten. We bouwen hun macht af door te investeren in Europese digitale infrastructuur een eigen Cloud en veilige AI. We lanceren een Civiel Techfonds om verantwoorde technologie aan te jagen en mensenrechtenorganisaties te steunen. We pleiten voor het opknippen beroep gaan tegen burgers moeten hogere griffierechten gaan betalen. Besluiten met grote impact mogen nooit volledig door een algoritme of AI worden genomen. › Geen discriminerende algoritmen en systemen. We verbeteren het toezicht op hoe de overheid data gebruikt en privacy Sociale media worden misbruikt om mensen tegen elkaar op te hitsen en verkiezingen te beïnvloeden. Digitale beïnvloeding gebeurt door bots AI-afbeeldingen en desinformatie en wordt gecoördineerd door kwaadwillende landen. We leren van andere EU-landen en eisen transparantie van techgiganten over hun...,217,40287
152,JA21,2025,"['ai', 'kunstmatige intelligentie']",13,...de politieca- paciteit maximaal uitbreiden maar ook efficiënter gaan werken. Dit willen we onder meer doen door te investeren in kunstmatige intelligentie (AI) en door agenten meer de ruimte te geven om te focussen op hun kerntaken. 4 Investeren aan de zorgkant zoals meer ruimte en duidelijkheid te geven. 26 JA21 Verkiezingsprogramma 2025 Digitalisering en innovatie De wereld verandert dankzij nieuwe technologie zoals kunstmatige intelligentie (AI) en opkomende robotisering in een razend tempo. Terwijl andere landen grote inves- teringen doen in digitalisering en kunstmatige intelligen- tie transitie. Tegelijkertijd groeit onze digitale afhankelijkheid van buitenlandse techbedrijven en staat onze arbeidsmarkt voor een om- slag door automatisering en AI. Digitalisering en kunstmatige intelligentie bieden enorme kansen voor onze economie maar dan moet de overheid wel meebewegen en ondernemers de ruimte geven om digitaliseren voorkomen met een nationale strategie waarin het bedrijfsleven gezamenlijk optrekt met de overheid en kennisinstituten. 4 Het gebruik van AI in de praktijk stimuleren vooral in het mkb door in te zetten op slimme data-analyse automatisering en AI-oplossingen die ondernemers echt helpen. Aan ethische kaders hebben we niet genoeg het uitgangspunt is productiviteit. 4 Zorgen voor digitale soevereiniteit. zwem- veiligheid geborgd wordt. JA21 wil: 4 Meer preventie-onderzoek uitvoeren. 4 Schoolzwemmen verplicht stellen. 4 Topsport blijven stimuleren. Innovatie Van kunstmatige intelligentie wordt veel verwacht. In rap tempo worden de AI-applicaties in de Nederlandse samen- leving gebruikt. De potentie lijkt enorm. Voor inzet in de zorg is een nationale aanpak nodig. JA21 onderschrijft dit maar dit zal niet voldoende zijn. Grootschalige inzet van kunst- matige intelligentie (AI) in de zorg vraagt een cultuuromslag binnen instellingen die in veel gevallen nog erg behoudend acteren. JA21 wil van instellingen...,280,24316
159,DENK,2025,"['ai', 'gpt', 'kunstmatige intelligentie']",15,...inzetten voor strategische technologieën. Met de Nationale Investeringsbank leggen we een stevige basis voor risicodragende investeringen in sleuteltechnologieën zoals chips AI en biotech. 21. We sluiten een meerjarig industrieakkoord met de topsectoren regionale ontwikkelingsmaatschappijen (ROM’s) en regio’s. Per sector leggen we de instroom in mbo- hbo- en wo-opleidingen voor strategische sectoren die echt om mensen staan te springen zoals de halfgeleiderindustrie AI en energietechnologie. Dit gebeurt via regionale afspraken en gezamenlijke investeringen met onderwijsinstellingen en bedrijven. 28. We steunen de oprichting van een AI-fabriek in Groningen die rekenkracht data en talent beschikbaar maakt voor het mkb en strategische sectoren. We staan achter de ontwikkelingen inzet van het bedrijfsleven op het gebied van R&D versterken we onze toppositie in Europa op kennisgebieden als fotonica quantumtechnologie kunstmatige intelligentie klimaat- en medische technologie. We steunen het nieuwe Horizon Europa programma als zelfstandig programma. We houden vast aan het zekerheid! De basis moet op orde 12. ONZE DIGITALE OMGEVING Veel mensen maken zich terecht zorgen om de opkomst van kunstmatige intelligentie (AI) en de gevolgen die dat heeft voor onze banen onze veiligheid en ons vertrouwen in de overheid. De samenleving ‘veralgoritmiseert’. op orde 11. We moeten voorkomen dat de overheid data van onze burgers voedt aan de tech-reuzen omdat zij hun AI-modellen daarop trainen. De overheid moet wanneer het nuttig is zeker gebruik maken van AI-toepassingen maar hierbij omwille van de veiligheid en privacy bij voorkeur kiezen voor soevereine of lokaal draaiende AI-modellen. SAMENLEVING BESCHERMEN TEGEN DIGITALISERING De macht van de grote technologiebedrijven wordt steeds groter ten koste van de rechten van mensen....,269,39333
160,DENK,2024,['kunstmatige intelligentie'],2,...uit en sluit bevolkingsgroepen uit die er niet aan mee (kunnen) doen. En straks wordt jijzelf misschien ook vervangen door kunstmatige intelligentie. De micro- chips blijven draaien de inhoud doet er niet meer toe en zo blijft er een economie met dalen is. Technologie gedreven bestuur: Technologische vooruitgang zal een revolutie te- weegbrengen in het bestuur met de wijdverspreide toepassing van kunstmatige intelligentie blockchain en andere opkomende technologieën om de efficiëntie transparantie en betrokkenheid van burgers te verbeteren. Digitale democratie- platforms kunnen...,82,17794
162,PvdD,2025,"['ai', 'kunstmatige intelligentie']",30,...burgers tegen misbruik manipulatie en 3454 identiteitsfraude in de digitale wereld. 3455 • Beelden en audio die gemaakt zijn door AI moeten altijd direct te herkennen zijn 3456 door bijvoorbeeld een watermerk of logo. Teksten die zich (deels) baseren op 3457 informatie die door AI gegenereerd is vermelden dit expliciet. 3458 89 • Door kunstmatige intelligentie kunnen computers met één druk op de knop nieuwe 3459 kunst maken in de stijl van bestaande kunstenaars. Daarom 3527 • Groepsbelediging digitaal pesten discriminatie en oproepen tot racistisch geweld 3528 op sociale media worden hard bestreden. 3529 3530 AI in dienst van mens dier en planeet 3531 Kunstmatige intelligentie (AI) ontwikkelt zich razendsnel en dringt steeds dieper door in ons 3532 dagelijks leven. Deze technologie wordt nu grotendeels gestuurd door risico’s voor samenleving mens en natuur worden genegeerd 3534 ten gunste van winstmaximalisatie. De Partij voor de Dieren wil dat AI snel onder publieke 3535 en democratische controle komt met nadrukkelijke aandacht voor ecologische grenzen 3536 mensenrechten dierenwelzijn en sociale rechtvaardigheid. 3537 AI-systemen kunnen verschillende antwoorden geven afhankelijk van wie de vraag stelt en 3538 hoe deze geformuleerd wordt. Dit brengt het risico van desinformatie en echokamers met 3539 zich mee. Daarom moet het voor gebruikers altijd duidelijk zijn dat AI-antwoorden onjuist 3540 kunnen zijn. Transparantie over onzekerheid is essentieel om misleiding en 3541 91 maatschappelijke schade te voorkomen. De overheid nationaal én Europees moet 3542 zeggenschap krijgen over zowel de AI-infrastructuur (zoals datacenters) als over het 3543 ontwerp en de regulering van de technologie zelf. Tegelijk willen we de kansen benutten 3544 die AI biedt voor het algemeen belang zoals bij natuurherstel dierenbescherming 3545 duurzame zorg en wetenschappelijk onderzoek. 3546 • De overheid zet AI alleen in als de toepassing aantoonbaar bijdraagt aan publieke 3547 doelen zoals dierenwelzijn natuurherstel energiebesparing betere zorg of 3548 armoedebestrijding. Elke voorgenomen toepassing wordt vooraf getoetst op 3549 ecologische impact. Transparantie over energie- en waterverbruik van AI-systemen 3550 is verplicht. 3551 • AI mag uitsluitend commercieel worden ingezet wanneer de toepassing verenigbaar 3552 is met duurzame en sociaal rechtvaardige principes. Toepassingen die bijdragen aan 3553 ongelijkheid overconsumptie en gedragsmanipulatie vallen daar niet onder en 3554 krijgen in Nederland geen ruimte. 3555 • AI mag geen vervanging zijn voor essentiële menselijke interactie in sectoren waar 3556 dit een belangrijk onderdeel van uitmaakt zoals binnen zorg onderwijs en 3557 cultuur. Technologie moet daar ondersteunend zijn – niet het menselijke contact 3558 verdringen. 3559 • Alle AI-systemen die invloed hebben op mensenlevens inclusief systemen die 3560 worden ingezet ten behoeve van de veiligheid worden aan de voorkant uitgetrokken voor toezicht en handhaving hierop waarbij er ook verboden 3564 kunnen worden ingesteld. 3565 • De regie over essentiële AI-infrastructuur komt in publieke handen. De overheid 3566 zorgt ervoor dat in Europees verband geïnvesteerd wordt in goede publieke AI- 3567 technologie zodat er geen afhankelijkheid ontstaat van problematische regimes of 3568 buitenlandse commerciële partijen. 3569 • Er komt structurele financiering voor onafhankelijk onderzoek naar de ecologische 3570 en maatschappelijke impact van AI. Bij die laatste categorie is expliciet aandacht 3571 voor effecten op autonomie taal denken en (sociaal) gedrag en de risico’s...,518,67277
170,Piratenpartij,2025,"['ai', 'artificial intelligence', 'artificiële intelligentie', 'kunstmatige intelligentie', 'machine learning']",13,...oplossingen komen. Zodat algoritmen je niet onterecht beschuldigen en je je zekerheden behoudt ook als je baan onzeker raakt door artificiële intelligentie. Zodat de overheid niet alles bepaalt maar je altijd zelf kan meedenken meebeslissen en meedoen. Voorwoord van lijsttrekker Matthijs onderwijs en openbaar vervoer geprivatiseerd en verschraald; ICT-falen en cyberbeveiligingslekken nog regelmatig aan de hand; en op nieuwe ontwikkelingen zoals artificiële intelligentie (AI) lopen we beschamend achter terwijl Big Tech steeds verder monopoliseert en dus aan macht wint. Onder het mom van dit collega Kamerleden dan in hen de maat nemen en doelloos bekvechten. De kernpunten van de Piratenpartij zijn relevanter dan ooit! AI heeft een steeds grotere invloed op de samenleving. Overheden en bedrijven gebruiken vaak op een oncontroleerbare wijze technologie om mensen rond: camera's die het verkeer en handelen van personen en voertuigen volgen gezichten volgen en opnames opslaan voor analyse door artificiële intelligentie. De mogelijkheid privacy af te breken woog niet mee in het besluit daartoe. Uit onderzoek blijkt dat de aanwezigheid bij beslissingen kunnen mensen hun vooroordelen rechtvaardigen door de technologie 'onpartijdig' te noemen. Door de ontwikkelingen op het gebied van kunstmatige intelligentie artificial intelligence (AI) neemt de afhankelijkheid van de technologie toe. Hoewel AI een nuttig hulpmiddel is mag het onze vrijheden en burgerrechten niet uithollen en onze persoonlijke keuzes niet beperken. De ontwikkeling van AI moet voldoen aan de hoogste ethische normen en mag vooroordelen en profilering op basis daarvan niet in de hand werken. De individuele EU-burger moet baat hebben bij AI door strakke regulering ervan. Om ongewenste effecten te voorkomen eist de Piratenpartij dat algoritmes transparant en trainingsdata controleerbaar worden. Alleen...,273,31490
189,VVD,2025,"['ai', 'algoritmische besluitvorming', 'kunstmatige intelligentie']",12,...méér uren of méér mensen maar in slimmer werken. Met een Innovatiewet zetten we in op onderzoek onderwijs en vakopleidingen AI automatisering en robotisering voor zwaar en repeterend werk. Zo verhogen we de arbeidsproductiviteit en stappen we op de sneltrein naar kernwapens van de Nederlandse bodem. Er moet een verbod komen op dodelijke autonome wapens en strenger toezicht uitgeoefend worden op kunstmatige intelligentie die maatschappelijke risico’s draagt. • Wapens zijn geen handelswaar. We verkopen geen wapens aan landen waar mensenrechten worden geschonden. het recht om een mens te spreken over jouw zaak en word je nooit overgeleverd aan een digitaal systeem of algoritmische besluitvorming. Deze ambtenaar kan diens besluit altijd uitleggen. Als er iets mis gaat dan volgt een gesprek en begeleidt deze persoon je naar een oplossing. Bij digitale hulpmiddelen als AI wordt altijd weergegeven welke gegevens de basis waren voor het besluit. • De overheid is altijd in de buurt. Uitvoeringsdiensten voor mobiele telefoons het principe gehanteerd worden van ‘thuis of in de kluis’ ook tijdens de pauzes. Het gebruik van kunstmatige intelligentie door scholieren en studenten moet in goede banen worden geleid. • Baas over eigen data. Dataminimalisatie wordt de norm. partijen of in systemen is verwerkt. De gegevens die overblijven moeten zo worden verwerkt dat iemands identiteit beschermd blijft. • Kunstmatige Intelligentie reguleren. Kunstmatige Intelligentie maakt het steeds moeilijker om te achterhalen wat echt en wat nep is; wat door mensen is gemaakt of door AI-software. Dit kan leiden tot misbruik zoals bij deepfake porno of het gebruik van kunst en kennis van anderen zonder betaling. Daarom is strenge regulering nodig. Het moet altijd duidelijk zijn wanneer iets door AI is gemaakt. Daarnaast mag AI alleen worden getraind met publieke informatie en mag het geen inbreuk maken op auteursrechten. Mensen krijgen auteursrechten over hun eigen...,297,44382
193,SGP,2025,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",18,...uit het Bijbelboek Psalmen. Het is een kernvraag die filosofen sinds de oudheid bezighoudt en die door technologische ontwikkelingen zoals kunstmatige intelligentie (AI) en de invloed van mediamachten voluit actueel blijft. Hoe zien we onszelf als mens en maatschappij? Deze vraag heeft alles van regeldruk. Uiter- aard houdt de patiënt altijd regie op diens eigen gegevens. Bij het gebruik van kunstmatige intelli- gentie (AI) in de zorg moet een mens- waardige toepassing centraal staan. Niet elke doktersafspraak kan zomaar digitaal. De overheid blijft daarom curriculum. Het onderwijsaanbod moet recht doen aan deze uitgangspunten. De vrijheid van onderwijs is goed voor heel de samenleving. Concreet: Kunstmatige intelligentie mag nooit ge- bruikt worden om kinderen ergens toe te dwingen of hen te misleiden. Zij zijn extra kwetsbaar. faciliteren van de verspreiding van dit afschuwelijke mate- riaal. Het creëren en verspreiden van kinder- pornografisch materiaal door middel van AI moet worden verboden en bestreden. De strijd tegen mensenhandel en uitbui- ting moet samen met andere (Europese) landen worden opgevoerd. te gebruiken voor technologie maar ook vice versa. We pleiten voor een verantwoord gebruik van nieuwe technologie. Kunstmatige intel- ligentie (AI) dient zich te verhouden tot een onder- liggend mensbeeld. De mens beschikt over een ziel verstand en geest maar AI niet. Bijbels gezien is de mens daarom de enige die moreel verantwoordelijk gehouden kan worden voor de functie die technolo- gie vervult. Ook zijn we ervoor beducht dat AI leidt tot een te grote controlerende overheid. Waardigheid is onbetaalbaar Wij zijn ervan overtuigd dat ieder mens geschapen naar Gods...,256,41852
202,VVD,2025,"['ai', 'artificiële intelligentie', 'kunstmatige intelligentie', 'openai']",24,...is gericht op start- en scale-ups zodat zij het geld hebben om op te schalen. We zetten vol in op kunstmatige intelligentie. ▶ Steun voor ondernemers en zelfstandigen: we leggen wettelijk vast dat de overheid de plicht heeft om het ondernemersklimaat te laten ontstaan. Want dat we achteropraken zien we gewoonweg om ons heen. Baanbrekende ondernemingen als Apple Google Uber en OpenAI zijn het afgelopen decennium groot geworden in de Verenigde Staten niet in Europa of Nederland. In China wordt een fabriek of met India. Tegelijkertijd moeten de investeringen in moderne technologieën in ons land fors omhoog zoals in quantummechanica chips en kunstmatige intelligentie zoals in de Nationale Technologiestrategie. Zo kunnen we technologische leiders worden in plaats van volgers. Het is daarbij belangrijk aantrekkelijke plek is voor bijvoorbeeld techbedrijven. We bezien of dit samengevoegd kan worden met bestaande investeringsfondsen. ▶ Vol inzetten op kunstmatige intelligentie: Kunstmatige intelligentie heeft de toekomst. Het is tijd dat we meer redeneren vanuit kansen dan vanuit angst. We doen daarom investeringen in kunstmatige intelligentie via de investeringsagenda voor nationale groei en de investeringsmaatschappij. Anders worden we sterk afhankelijk van de VS en China. Dit fonds moet naast de komst van een ‘normale’ AI-fabriek in Groningen een AI-gigafabriek mogelijk maken. Ook realiseren we met dit fonds een AI-hub naar voorbeeld van het Franse Station F. We helpen het mkb volop de kansen van kunstmatige intelligentie te benutten. Door de inzet op kunstmatige intelligentie krijgt het hele land een impuls. ▶ Start- en scale-up-hoofdstad: Nederland wordt het wereldwijde kloppend hart van innovatieve bedrijven. deze strenge regelgeving niet kennen. We maken ons daarom in de EU hard voor onder andere het versoepelen van de AI-act de GDPR de CSRD en de CSDDD. ▶ We moedigen export voor onze ondernemers aan: Bedrijven die over de landgrenzen...,300,40350
203,Volt,2018,"['ai', 'artificial intelligence']",22,...and ESF+. Boost entrepreneurship and the creation of jobs​ by scaling up investments in technologies such as blockchain big data artificial intelligence and cloud technologies to help Europe's strategic sectors to compete globally. How? ​First we want to strengthen the European this end it is crucial for Europe to develop its research and innovation capacities. Amongst all technological developments to come artificial intelligence is expected to be the most disruptive; Europe needs to be at the forefront of exploring its future potential. to address local need. Funding? The resources to finance our proposal are mainly available under Horizon Europe. Become smart in Artificial Intelligence ​by creating the EU High Level Artificial Intelligence Coordination Office to gather the best minds and businesses in the field set up a European AI Initiative and establish high ethical standards for AI. How? ​Artificial Intelligence development calls for a European AI Initiative: i) to gain critical mass to compete globally as no individual national initiative by itself can keep up with the competition from other key player such as the US or China ii) to ensure AI technology is built in Europe and based on EU’s Human Values and iii) to prepare for undesirable effects of AI such as involuntary unemployment. To achieve this we will work to ensure adequate funding for the European AI Initiative including for the High Level AI Office and support the European Commission in its announced AI Research and Development Initiative. This includes a budget target of €20 billion per year by 2020 for supporting multi-national efforts. several EU programmes such as Digital Europe InvestEU and Horizon Europe 35 All rights reserved by Volt Europa A.S.B.L. Make Artificial Intelligence available and accessible for everyone ​by increasing the European Investment Bank’s support for AI investments to at least €1 billion a year by 2020 and by setting up a centralised “AI-on-demand-platform” to provide a single access point to key AI resources in the EU. How? ​We want to make AI available and accessible by creating an “AI-on-demand-platform” to provide a publicly funded European access point for AI developers and businesses to knowledge data and computing power needed to compete with global actors. To implement the platform the build on the existing network of more than 400 Digital Innovation Hubs. We will work to attract private investments in AI including by increasing the European Investment Bank’s support for AI investments to at least €1 billion a year after 2020 and by rolling out the Pan-European Venture Capital Fund-of-Funds Programme...,434,23250
204,Volt,2019,"['ai', 'artificial intelligence']",9,...> Boost entrepreneurship and the creation of jobs by scaling up invest- ments in technologies such as blockchain big data artificial intelligence and cloud technologies to help Europe's strategic sectors to compete globally. Create Jobs Entrepre- neurship No One Left Behind this end it is crucial for Europe to develop its research and innovation capacities. Amongst all technological developments to come artificial intelligence is to be the most disruptive; Europe needs to be at the forefront of exploring its future potential. > 2025. Push countries to invest in innovation to master the environmental and social challenges of tomorrow. > Become smart in Artificial Intelligence by creating the EU High Level Arti- ficial Intelligence Coordination Oﬃce to gather the best minds and businesses in the field set up a European AI Initiative and establish high ethical standards for AI. > Make Artificial Intelligence available and accessible for everyone by increasing the European Investment Bank’s support for AI investments to at least €1 billion a year by 2020 and by setting up a centralised “AI-on-demand- platform” to provide a single access point to key AI resources in the EU. > Protect the dignity and safety of workers especially in new sectors. Pro- vide workers with...,202,3582
205,Volt,2024,['kunstmatige intelligentie'],4,...EU worden vereenvoudigd. > Stimuleer ondernemerschap en het scheppen van banen door in technolo- gische ontwikkelingen als blockchain big data kunstmatige intelligentie en ‘cloud’ technologie te investeren waardoor de betrokken Europese sectoren op wereld- schaal kunnen concurreren. Schep banen Ondernemer- schap Het is dan ook cruciaal dat Europa haar onderzoeks- en innovatie capa- citeiten verder ontwikkelt. Van alle nieuwe technologieën zal kunstmatige intelligentie voor de grootste veranderingen zorgen. Europa moet voorop lopen in het verkennen van de toekomstige mogelijkheden ervan. > Maak investeren om zo de ecologische en sociale uitdagingen van morgen aan te kunnen. > Word slim in het gebruik van kunstmatige intelligentie (KI) door het oprichten van een Europees Coördinatie bureau om kennis en ervaring van het hoogste niveau te verzamelen. Start een Europees KI-initiatief en zorg daarbij voor hoge ethische normen. > Maak kunstmatige intelligentie beschikbaar en toegankelijk voor iedereen door de investeringen van de Europese Investeringsbank voor KI te verhogen naar tenminste 1...,154,3718
206,Volt,2025,"['ai', 'chatgpt', 'generatieve ai', 'gpt', 'kunstmatige intelligentie', 'llm']",71,...elkaar laat spelen verstopt Nederland zich achter de dijken. De tech bro's Musk Bezos en Zuckerberg krijgen alle ruimte om AI voor hun eigen businessmodel in te zetten. Om vervolgens op hun sociale media nog meer haatberichten en politieke leugens te Wij bouwen onze eigen Silicon Europa. Wij kiezen voor een Europees Tech Fund dat risicovolle investeringen doet in innovaties zoals AI kwantumtechnologie en biotech. Van Brainport in Eindhoven tot Halicon Valley in Finland: samen maken we één digitale krachtbron. Daarmee bundelen 85 4.2. Een innovatieve economie 86 Investeren in de toekomst 87 Onderzoek als basis voor innovatie 88 De rol van AI in innovatie 89 4.3. Een duurzame en circulaire economie 91 Duurzame industrie 91 Duurzaam innoveren 92 Invloed van tech op over de grens 95 Arbeidsmigratie 96 Gelijke toegang tot de arbeidsmarkt 97 Reguleren van sekswerk 98 Een toekomstbestendig pensioenstelsel 98 AI en de arbeidsmarkt 98 4.5. Ondernemerschap 100 Gerichte ondersteuning van ondernemers 100 Zelfstandige ondernemers 102 4.6. Toekomstbestendige belastingen 103 Vergroening van de toekomst 128 6.2. Digitale democratie 129 Digitale dienstverlening 129 Digitale overheid 130 Digitale toetsing en transparantie 131 Gereguleerde AI 132 Privacy en persoonsgegevens 132 6.3. Een nieuwe Europese democratie 134 Een echte Europese parlementaire democratie 134 Uitbreiding van de...,212,57568
212,VVD,2019,['kunstmatige intelligentie'],6,...Ambitieus doel voor CO2- reductie op Europees niveau landen bepalen hoe dit te realiseren Groots investeren in veelbelovende doorbraaktechnologieën zoals kunstmatige intelligentie Zorgen dat lidstaten financiën op orde brengen en dat banken risico’s verder terugbrengen Europese instellingen beperken zich tot kerntaken het in een schone omgeving op te groeien. 5) Digitaal voorop lopen Europa wordt een koploper in technologische vernieuwing zoals kunstmatige intelligentie. Hiervoor zijn grootschalige investeringen nodig in onderzoek innovatie en digitale infrastructuur. Tegelijk maken we mensen baas over eigen data; infrastructuur als wegen en bruggen worden versterkt. Voor autonome wapens worden internationale normen ontwikkeld. Dit type wapens is uitgerust met kunstmatige intelligentie. Dit kan onze slagkracht en de veiligheid van militairen vergroten maar ook risico’s met zich meebrengen. Deze risico’s zijn in de toekomst weer voorop lopen in de wereld. Met focus en lef investeert Europa in veelbelovende door- braaktechnologieën zoals kunstmatige intelligentie. Europa selecteert de beste ideeën van bedrijven en wetenschap- pers en investeert zodat deze op grote schaal kunnen worden Europa investeert fors in technologische innovatie. Europa richt zich op technologieën die vragen om grootschalige investeringen en Europese samenwerking zoals kunstmatige intelligentie en quantum computing. Er wordt geïnvesteerd in fundamenteel én toegepast onderzoek zodat ideeën worden omgezet naar producten en diensten....,208,12787
